method,num_points,accuracy
k-means,10,1.0
gmm,10,1.0
kernel k-groups,10,1.0
k-means,30,0.9
gmm,30,0.9
kernel k-groups,30,0.9
k-means,50,0.76
gmm,50,0.8
kernel k-groups,50,0.78
k-means,70,0.757142857143
gmm,70,0.871428571429
kernel k-groups,70,0.814285714286
k-means,90,0.688888888889
gmm,90,0.844444444444
kernel k-groups,90,0.777777777778
k-means,110,0.745454545455
gmm,110,0.863636363636
kernel k-groups,110,0.827272727273
k-means,130,0.784615384615
gmm,130,0.784615384615
kernel k-groups,130,0.792307692308
k-means,150,0.74
gmm,150,0.86
kernel k-groups,150,0.773333333333
k-means,170,0.794117647059
gmm,170,0.770588235294
kernel k-groups,170,0.805882352941
k-means,190,0.763157894737
gmm,190,0.768421052632
kernel k-groups,190,0.768421052632
k-means,210,0.804761904762
gmm,210,0.890476190476
kernel k-groups,210,0.809523809524
k-means,230,0.834782608696
gmm,230,0.913043478261
kernel k-groups,230,0.84347826087
k-means,250,0.792
gmm,250,0.884
kernel k-groups,250,0.816
k-means,270,0.762962962963
gmm,270,0.796296296296
kernel k-groups,270,0.803703703704
k-means,290,0.848275862069
gmm,290,0.896551724138
kernel k-groups,290,0.851724137931
k-means,310,0.783870967742
gmm,310,0.796774193548
kernel k-groups,310,0.81935483871
k-means,330,0.79696969697
gmm,330,0.806060606061
kernel k-groups,330,0.8
k-means,350,0.762857142857
gmm,350,0.874285714286
kernel k-groups,350,0.788571428571
k-means,370,0.775675675676
gmm,370,0.902702702703
kernel k-groups,370,0.797297297297
k-means,390,0.776923076923
gmm,390,0.776923076923
kernel k-groups,390,0.807692307692
k-means,410,0.79512195122
gmm,410,0.892682926829
kernel k-groups,410,0.809756097561
k-means,430,0.779069767442
gmm,430,0.851162790698
kernel k-groups,430,0.797674418605
k-means,450,0.793333333333
gmm,450,0.895555555556
kernel k-groups,450,0.826666666667
k-means,470,0.787234042553
gmm,470,0.86170212766
kernel k-groups,470,0.8
k-means,490,0.757142857143
gmm,490,0.857142857143
kernel k-groups,490,0.797959183673
k-means,510,0.796078431373
gmm,510,0.882352941176
kernel k-groups,510,0.811764705882
k-means,530,0.756603773585
gmm,530,0.866037735849
kernel k-groups,530,0.777358490566
k-means,550,0.750909090909
gmm,550,0.723636363636
kernel k-groups,550,0.770909090909
k-means,570,0.761403508772
gmm,570,0.750877192982
kernel k-groups,570,0.80701754386
k-means,590,0.803389830508
gmm,590,0.886440677966
kernel k-groups,590,0.810169491525
k-means,610,0.795081967213
gmm,610,0.870491803279
kernel k-groups,610,0.819672131148
k-means,630,0.763492063492
gmm,630,0.87619047619
kernel k-groups,630,0.811111111111
k-means,650,0.763076923077
gmm,650,0.895384615385
kernel k-groups,650,0.809230769231
k-means,670,0.788059701493
gmm,670,0.888059701493
kernel k-groups,670,0.819402985075
k-means,690,0.75652173913
gmm,690,0.86231884058
kernel k-groups,690,0.786956521739
k-means,710,0.776056338028
gmm,710,0.89014084507
kernel k-groups,710,0.798591549296
k-means,730,0.754794520548
gmm,730,0.880821917808
kernel k-groups,730,0.786301369863
k-means,750,0.765333333333
gmm,750,0.892
kernel k-groups,750,0.789333333333
k-means,770,0.766233766234
gmm,770,0.775324675325
kernel k-groups,770,0.797402597403
k-means,790,0.746835443038
gmm,790,0.851898734177
kernel k-groups,790,0.792405063291
k-means,10,1.0
gmm,10,1.0
kernel k-groups,10,1.0
k-means,30,0.733333333333
gmm,30,0.833333333333
kernel k-groups,30,0.8
k-means,50,0.76
gmm,50,0.9
kernel k-groups,50,0.88
k-means,70,0.814285714286
gmm,70,0.9
kernel k-groups,70,0.857142857143
k-means,90,0.811111111111
gmm,90,0.855555555556
kernel k-groups,90,0.844444444444
k-means,110,0.718181818182
gmm,110,0.836363636364
kernel k-groups,110,0.781818181818
k-means,130,0.769230769231
gmm,130,0.892307692308
kernel k-groups,130,0.769230769231
k-means,150,0.76
gmm,150,0.933333333333
kernel k-groups,150,0.853333333333
k-means,170,0.794117647059
gmm,170,0.905882352941
kernel k-groups,170,0.858823529412
k-means,190,0.747368421053
gmm,190,0.705263157895
kernel k-groups,190,0.773684210526
k-means,210,0.742857142857
gmm,210,0.857142857143
kernel k-groups,210,0.814285714286
k-means,230,0.739130434783
gmm,230,0.865217391304
kernel k-groups,230,0.74347826087
k-means,250,0.764
gmm,250,0.748
kernel k-groups,250,0.828
k-means,270,0.759259259259
gmm,270,0.859259259259
kernel k-groups,270,0.814814814815
k-means,290,0.731034482759
gmm,290,0.727586206897
kernel k-groups,290,0.762068965517
k-means,310,0.767741935484
gmm,310,0.909677419355
kernel k-groups,310,0.841935483871
k-means,330,0.760606060606
gmm,330,0.760606060606
kernel k-groups,330,0.848484848485
k-means,350,0.748571428571
gmm,350,0.728571428571
kernel k-groups,350,0.757142857143
k-means,370,0.748648648649
gmm,370,0.864864864865
kernel k-groups,370,0.751351351351
k-means,390,0.761538461538
gmm,390,0.871794871795
kernel k-groups,390,0.792307692308
k-means,410,0.792682926829
gmm,410,0.890243902439
kernel k-groups,410,0.829268292683
k-means,430,0.779069767442
gmm,430,0.893023255814
kernel k-groups,430,0.788372093023
k-means,450,0.737777777778
gmm,450,0.753333333333
kernel k-groups,450,0.753333333333
k-means,470,0.765957446809
gmm,470,0.86170212766
kernel k-groups,470,0.825531914894
k-means,490,0.787755102041
gmm,490,0.871428571429
kernel k-groups,490,0.810204081633
k-means,510,0.794117647059
gmm,510,0.794117647059
kernel k-groups,510,0.805882352941
k-means,530,0.811320754717
gmm,530,0.898113207547
kernel k-groups,530,0.837735849057
k-means,550,0.783636363636
gmm,550,0.874545454545
kernel k-groups,550,0.841818181818
k-means,570,0.79649122807
gmm,570,0.894736842105
kernel k-groups,570,0.819298245614
k-means,590,0.779661016949
gmm,590,0.877966101695
kernel k-groups,590,0.798305084746
k-means,610,0.8
gmm,610,0.895081967213
kernel k-groups,610,0.826229508197
k-means,630,0.777777777778
gmm,630,0.752380952381
kernel k-groups,630,0.809523809524
k-means,650,0.773846153846
gmm,650,0.890769230769
kernel k-groups,650,0.801538461538
k-means,670,0.755223880597
gmm,670,0.867164179104
kernel k-groups,670,0.794029850746
k-means,690,0.772463768116
gmm,690,0.884057971014
kernel k-groups,690,0.820289855072
k-means,710,0.781690140845
gmm,710,0.885915492958
kernel k-groups,710,0.819718309859
k-means,730,0.77397260274
gmm,730,0.794520547945
kernel k-groups,730,0.797260273973
k-means,750,0.772
gmm,750,0.778666666667
kernel k-groups,750,0.782666666667
k-means,770,0.790909090909
gmm,770,0.872727272727
kernel k-groups,770,0.818181818182
k-means,790,0.774683544304
gmm,790,0.878481012658
kernel k-groups,790,0.811392405063
k-means,10,0.7
gmm,10,0.7
kernel k-groups,10,0.7
k-means,30,0.833333333333
gmm,30,0.833333333333
kernel k-groups,30,0.833333333333
k-means,50,0.8
gmm,50,0.9
kernel k-groups,50,0.8
k-means,70,0.8
gmm,70,0.785714285714
kernel k-groups,70,0.8
k-means,90,0.777777777778
gmm,90,0.844444444444
kernel k-groups,90,0.822222222222
k-means,110,0.781818181818
gmm,110,0.781818181818
kernel k-groups,110,0.781818181818
k-means,130,0.807692307692
gmm,130,0.753846153846
kernel k-groups,130,0.807692307692
k-means,150,0.853333333333
gmm,150,0.926666666667
kernel k-groups,150,0.88
k-means,170,0.8
gmm,170,0.8
kernel k-groups,170,0.823529411765
k-means,190,0.794736842105
gmm,190,0.868421052632
kernel k-groups,190,0.805263157895
k-means,210,0.780952380952
gmm,210,0.880952380952
kernel k-groups,210,0.8
k-means,230,0.752173913043
gmm,230,0.865217391304
kernel k-groups,230,0.813043478261
k-means,250,0.764
gmm,250,0.78
kernel k-groups,250,0.768
k-means,270,0.785185185185
gmm,270,0.792592592593
kernel k-groups,270,0.788888888889
k-means,290,0.78275862069
gmm,290,0.868965517241
kernel k-groups,290,0.81724137931
k-means,310,0.738709677419
gmm,310,0.761290322581
kernel k-groups,310,0.761290322581
k-means,330,0.781818181818
gmm,330,0.875757575758
kernel k-groups,330,0.80303030303
k-means,350,0.757142857143
gmm,350,0.885714285714
kernel k-groups,350,0.797142857143
k-means,370,0.778378378378
gmm,370,0.832432432432
kernel k-groups,370,0.789189189189
k-means,390,0.776923076923
gmm,390,0.851282051282
kernel k-groups,390,0.792307692308
k-means,410,0.763414634146
gmm,410,0.890243902439
kernel k-groups,410,0.80243902439
k-means,430,0.811627906977
gmm,430,0.886046511628
kernel k-groups,430,0.825581395349
k-means,450,0.766666666667
gmm,450,0.853333333333
kernel k-groups,450,0.795555555556
k-means,470,0.772340425532
gmm,470,0.882978723404
kernel k-groups,470,0.808510638298
k-means,490,0.832653061224
gmm,490,0.908163265306
kernel k-groups,490,0.848979591837
k-means,510,0.81568627451
gmm,510,0.874509803922
kernel k-groups,510,0.823529411765
k-means,530,0.760377358491
gmm,530,0.760377358491
kernel k-groups,530,0.781132075472
k-means,550,0.8
gmm,550,0.878181818182
kernel k-groups,550,0.816363636364
k-means,570,0.782456140351
gmm,570,0.90350877193
kernel k-groups,570,0.817543859649
k-means,590,0.747457627119
gmm,590,0.864406779661
kernel k-groups,590,0.772881355932
k-means,610,0.747540983607
gmm,610,0.890163934426
kernel k-groups,610,0.811475409836
k-means,630,0.765079365079
gmm,630,0.887301587302
kernel k-groups,630,0.804761904762
k-means,650,0.789230769231
gmm,650,0.881538461538
kernel k-groups,650,0.815384615385
k-means,670,0.740298507463
gmm,670,0.725373134328
kernel k-groups,670,0.767164179104
k-means,690,0.763768115942
gmm,690,0.873913043478
kernel k-groups,690,0.789855072464
k-means,710,0.747887323944
gmm,710,0.756338028169
kernel k-groups,710,0.771830985915
k-means,730,0.77397260274
gmm,730,0.867123287671
kernel k-groups,730,0.793150684932
k-means,750,0.782666666667
gmm,750,0.873333333333
kernel k-groups,750,0.810666666667
k-means,770,0.762337662338
gmm,770,0.864935064935
kernel k-groups,770,0.796103896104
k-means,790,0.767088607595
gmm,790,0.850632911392
kernel k-groups,790,0.79746835443
k-means,10,0.6
gmm,10,0.6
kernel k-groups,10,0.6
k-means,30,0.766666666667
gmm,30,0.733333333333
kernel k-groups,30,0.766666666667
k-means,50,0.68
gmm,50,0.76
kernel k-groups,50,0.7
k-means,70,0.7
gmm,70,0.7
kernel k-groups,70,0.8
k-means,90,0.777777777778
gmm,90,0.855555555556
kernel k-groups,90,0.833333333333
k-means,110,0.809090909091
gmm,110,0.836363636364
kernel k-groups,110,0.818181818182
k-means,130,0.723076923077
gmm,130,0.876923076923
kernel k-groups,130,0.784615384615
k-means,150,0.766666666667
gmm,150,0.673333333333
kernel k-groups,150,0.793333333333
k-means,170,0.764705882353
gmm,170,0.864705882353
kernel k-groups,170,0.776470588235
k-means,190,0.742105263158
gmm,190,0.9
kernel k-groups,190,0.773684210526
k-means,210,0.82380952381
gmm,210,0.904761904762
kernel k-groups,210,0.847619047619
k-means,230,0.791304347826
gmm,230,0.821739130435
kernel k-groups,230,0.804347826087
k-means,250,0.748
gmm,250,0.848
kernel k-groups,250,0.792
k-means,270,0.759259259259
gmm,270,0.759259259259
kernel k-groups,270,0.762962962963
k-means,290,0.78275862069
gmm,290,0.9
kernel k-groups,290,0.855172413793
k-means,310,0.774193548387
gmm,310,0.874193548387
kernel k-groups,310,0.793548387097
k-means,330,0.79696969697
gmm,330,0.80303030303
kernel k-groups,330,0.809090909091
k-means,350,0.78
gmm,350,0.862857142857
kernel k-groups,350,0.814285714286
k-means,370,0.775675675676
gmm,370,0.891891891892
kernel k-groups,370,0.813513513514
k-means,390,0.8
gmm,390,0.905128205128
kernel k-groups,390,0.838461538462
k-means,410,0.775609756098
gmm,410,0.782926829268
kernel k-groups,410,0.80243902439
k-means,430,0.776744186047
gmm,430,0.844186046512
kernel k-groups,430,0.788372093023
k-means,450,0.757777777778
gmm,450,0.784444444444
kernel k-groups,450,0.784444444444
k-means,470,0.795744680851
gmm,470,0.885106382979
kernel k-groups,470,0.823404255319
k-means,490,0.787755102041
gmm,490,0.889795918367
kernel k-groups,490,0.826530612245
k-means,510,0.807843137255
gmm,510,0.886274509804
kernel k-groups,510,0.833333333333
k-means,530,0.767924528302
gmm,530,0.871698113208
kernel k-groups,530,0.777358490566
k-means,550,0.741818181818
gmm,550,0.863636363636
kernel k-groups,550,0.790909090909
k-means,570,0.763157894737
gmm,570,0.752631578947
kernel k-groups,570,0.782456140351
k-means,590,0.757627118644
gmm,590,0.871186440678
kernel k-groups,590,0.796610169492
k-means,610,0.772131147541
gmm,610,0.850819672131
kernel k-groups,610,0.786885245902
k-means,630,0.815873015873
gmm,630,0.9
kernel k-groups,630,0.846031746032
k-means,650,0.767692307692
gmm,650,0.883076923077
kernel k-groups,650,0.792307692308
k-means,670,0.80447761194
gmm,670,0.891044776119
kernel k-groups,670,0.820895522388
k-means,690,0.757971014493
gmm,690,0.865217391304
kernel k-groups,690,0.78115942029
k-means,710,0.754929577465
gmm,710,0.753521126761
kernel k-groups,710,0.807042253521
k-means,730,0.750684931507
gmm,730,0.894520547945
kernel k-groups,730,0.77397260274
k-means,750,0.764
gmm,750,0.850666666667
kernel k-groups,750,0.796
k-means,770,0.758441558442
gmm,770,0.87012987013
kernel k-groups,770,0.793506493506
k-means,790,0.758227848101
gmm,790,0.867088607595
kernel k-groups,790,0.777215189873
k-means,10,0.7
gmm,10,0.8
kernel k-groups,10,0.7
k-means,30,0.766666666667
gmm,30,0.866666666667
kernel k-groups,30,0.833333333333
k-means,50,0.8
gmm,50,0.82
kernel k-groups,50,0.8
k-means,70,0.7
gmm,70,0.685714285714
kernel k-groups,70,0.7
k-means,90,0.677777777778
gmm,90,0.722222222222
kernel k-groups,90,0.711111111111
k-means,110,0.7
gmm,110,0.718181818182
kernel k-groups,110,0.754545454545
k-means,130,0.830769230769
gmm,130,0.892307692308
kernel k-groups,130,0.884615384615
k-means,150,0.746666666667
gmm,150,0.853333333333
kernel k-groups,150,0.84
k-means,170,0.741176470588
gmm,170,0.835294117647
kernel k-groups,170,0.758823529412
k-means,190,0.757894736842
gmm,190,0.894736842105
kernel k-groups,190,0.815789473684
k-means,210,0.780952380952
gmm,210,0.852380952381
kernel k-groups,210,0.809523809524
k-means,230,0.717391304348
gmm,230,0.860869565217
kernel k-groups,230,0.765217391304
k-means,250,0.764
gmm,250,0.728
kernel k-groups,250,0.776
k-means,270,0.718518518519
gmm,270,0.82962962963
kernel k-groups,270,0.740740740741
k-means,290,0.796551724138
gmm,290,0.851724137931
kernel k-groups,290,0.813793103448
k-means,310,0.751612903226
gmm,310,0.896774193548
kernel k-groups,310,0.806451612903
k-means,330,0.760606060606
gmm,330,0.863636363636
kernel k-groups,330,0.772727272727
k-means,350,0.765714285714
gmm,350,0.871428571429
kernel k-groups,350,0.797142857143
k-means,370,0.772972972973
gmm,370,0.875675675676
kernel k-groups,370,0.794594594595
k-means,390,0.735897435897
gmm,390,0.715384615385
kernel k-groups,390,0.74358974359
k-means,410,0.80243902439
gmm,410,0.812195121951
kernel k-groups,410,0.817073170732
k-means,430,0.806976744186
gmm,430,0.893023255814
kernel k-groups,430,0.83488372093
k-means,450,0.775555555556
gmm,450,0.802222222222
kernel k-groups,450,0.8
k-means,470,0.76170212766
gmm,470,0.86170212766
kernel k-groups,470,0.78085106383
k-means,490,0.767346938776
gmm,490,0.777551020408
kernel k-groups,490,0.8
k-means,510,0.807843137255
gmm,510,0.896078431373
kernel k-groups,510,0.835294117647
k-means,530,0.803773584906
gmm,530,0.9
kernel k-groups,530,0.824528301887
k-means,550,0.749090909091
gmm,550,0.861818181818
kernel k-groups,550,0.78
k-means,570,0.791228070175
gmm,570,0.889473684211
kernel k-groups,570,0.835087719298
k-means,590,0.777966101695
gmm,590,0.777966101695
kernel k-groups,590,0.798305084746
k-means,610,0.786885245902
gmm,610,0.914754098361
kernel k-groups,610,0.837704918033
k-means,630,0.769841269841
gmm,630,0.890476190476
kernel k-groups,630,0.809523809524
k-means,650,0.741538461538
gmm,650,0.863076923077
kernel k-groups,650,0.76
k-means,670,0.813432835821
gmm,670,0.880597014925
kernel k-groups,670,0.826865671642
k-means,690,0.766666666667
gmm,690,0.872463768116
kernel k-groups,690,0.801449275362
k-means,710,0.764788732394
gmm,710,0.83661971831
kernel k-groups,710,0.791549295775
k-means,730,0.764383561644
gmm,730,0.886301369863
kernel k-groups,730,0.802739726027
k-means,750,0.769333333333
gmm,750,0.893333333333
kernel k-groups,750,0.809333333333
k-means,770,0.772727272727
gmm,770,0.785714285714
kernel k-groups,770,0.792207792208
k-means,790,0.793670886076
gmm,790,0.888607594937
kernel k-groups,790,0.806329113924
k-means,10,0.7
gmm,10,0.7
kernel k-groups,10,0.7
k-means,30,0.766666666667
gmm,30,0.766666666667
kernel k-groups,30,0.766666666667
k-means,50,0.72
gmm,50,0.66
kernel k-groups,50,0.74
k-means,70,0.771428571429
gmm,70,0.785714285714
kernel k-groups,70,0.8
k-means,90,0.811111111111
gmm,90,0.811111111111
kernel k-groups,90,0.811111111111
k-means,110,0.8
gmm,110,0.8
kernel k-groups,110,0.827272727273
k-means,130,0.792307692308
gmm,130,0.9
kernel k-groups,130,0.830769230769
k-means,150,0.82
gmm,150,0.86
kernel k-groups,150,0.833333333333
k-means,170,0.735294117647
gmm,170,0.905882352941
kernel k-groups,170,0.829411764706
k-means,190,0.773684210526
gmm,190,0.857894736842
kernel k-groups,190,0.8
k-means,210,0.833333333333
gmm,210,0.87619047619
kernel k-groups,210,0.861904761905
k-means,230,0.74347826087
gmm,230,0.878260869565
kernel k-groups,230,0.769565217391
k-means,250,0.808
gmm,250,0.888
kernel k-groups,250,0.82
k-means,270,0.759259259259
gmm,270,0.766666666667
kernel k-groups,270,0.818518518519
k-means,290,0.758620689655
gmm,290,0.748275862069
kernel k-groups,290,0.793103448276
k-means,310,0.803225806452
gmm,310,0.870967741935
kernel k-groups,310,0.809677419355
k-means,330,0.727272727273
gmm,330,0.718181818182
kernel k-groups,330,0.760606060606
k-means,350,0.754285714286
gmm,350,0.891428571429
kernel k-groups,350,0.785714285714
k-means,370,0.748648648649
gmm,370,0.843243243243
kernel k-groups,370,0.77027027027
k-means,390,0.792307692308
gmm,390,0.869230769231
kernel k-groups,390,0.817948717949
k-means,410,0.765853658537
gmm,410,0.839024390244
kernel k-groups,410,0.778048780488
k-means,430,0.711627906977
gmm,430,0.732558139535
kernel k-groups,430,0.741860465116
k-means,450,0.777777777778
gmm,450,0.875555555556
kernel k-groups,450,0.806666666667
k-means,470,0.797872340426
gmm,470,0.895744680851
kernel k-groups,470,0.823404255319
k-means,490,0.795918367347
gmm,490,0.887755102041
kernel k-groups,490,0.820408163265
k-means,510,0.774509803922
gmm,510,0.892156862745
kernel k-groups,510,0.796078431373
k-means,530,0.784905660377
gmm,530,0.879245283019
kernel k-groups,530,0.801886792453
k-means,550,0.767272727273
gmm,550,0.887272727273
kernel k-groups,550,0.812727272727
k-means,570,0.782456140351
gmm,570,0.875438596491
kernel k-groups,570,0.805263157895
k-means,590,0.806779661017
gmm,590,0.883050847458
kernel k-groups,590,0.828813559322
k-means,610,0.790163934426
gmm,610,0.8
kernel k-groups,610,0.811475409836
k-means,630,0.765079365079
gmm,630,0.877777777778
kernel k-groups,630,0.796825396825
k-means,650,0.772307692308
gmm,650,0.772307692308
kernel k-groups,650,0.806153846154
k-means,670,0.785074626866
gmm,670,0.880597014925
kernel k-groups,670,0.823880597015
k-means,690,0.773913043478
gmm,690,0.892753623188
kernel k-groups,690,0.814492753623
k-means,710,0.80985915493
gmm,710,0.891549295775
kernel k-groups,710,0.833802816901
k-means,730,0.808219178082
gmm,730,0.904109589041
kernel k-groups,730,0.832876712329
k-means,750,0.784
gmm,750,0.864
kernel k-groups,750,0.794666666667
k-means,770,0.777922077922
gmm,770,0.884415584416
kernel k-groups,770,0.806493506494
k-means,790,0.762025316456
gmm,790,0.888607594937
kernel k-groups,790,0.796202531646
k-means,10,0.8
gmm,10,0.9
kernel k-groups,10,0.8
k-means,30,0.833333333333
gmm,30,0.833333333333
kernel k-groups,30,0.833333333333
k-means,50,0.78
gmm,50,0.82
kernel k-groups,50,0.82
k-means,70,0.814285714286
gmm,70,0.814285714286
kernel k-groups,70,0.814285714286
k-means,90,0.788888888889
gmm,90,0.933333333333
kernel k-groups,90,0.833333333333
k-means,110,0.754545454545
gmm,110,0.754545454545
kernel k-groups,110,0.754545454545
k-means,130,0.753846153846
gmm,130,0.753846153846
kernel k-groups,130,0.761538461538
k-means,150,0.78
gmm,150,0.84
kernel k-groups,150,0.793333333333
k-means,170,0.794117647059
gmm,170,0.758823529412
kernel k-groups,170,0.817647058824
k-means,190,0.778947368421
gmm,190,0.8
kernel k-groups,190,0.789473684211
k-means,210,0.785714285714
gmm,210,0.895238095238
kernel k-groups,210,0.809523809524
k-means,230,0.782608695652
gmm,230,0.782608695652
kernel k-groups,230,0.817391304348
k-means,250,0.752
gmm,250,0.852
kernel k-groups,250,0.772
k-means,270,0.72962962963
gmm,270,0.859259259259
kernel k-groups,270,0.792592592593
k-means,290,0.779310344828
gmm,290,0.806896551724
kernel k-groups,290,0.796551724138
k-means,310,0.78064516129
gmm,310,0.777419354839
kernel k-groups,310,0.81935483871
k-means,330,0.739393939394
gmm,330,0.766666666667
kernel k-groups,330,0.778787878788
k-means,350,0.791428571429
gmm,350,0.871428571429
kernel k-groups,350,0.814285714286
k-means,370,0.813513513514
gmm,370,0.886486486486
kernel k-groups,370,0.82972972973
k-means,390,0.787179487179
gmm,390,0.789743589744
kernel k-groups,390,0.789743589744
k-means,410,0.773170731707
gmm,410,0.89512195122
kernel k-groups,410,0.812195121951
k-means,430,0.786046511628
gmm,430,0.788372093023
kernel k-groups,430,0.806976744186
k-means,450,0.806666666667
gmm,450,0.911111111111
kernel k-groups,450,0.835555555556
k-means,470,0.770212765957
gmm,470,0.868085106383
kernel k-groups,470,0.791489361702
k-means,490,0.789795918367
gmm,490,0.875510204082
kernel k-groups,490,0.838775510204
k-means,510,0.764705882353
gmm,510,0.86862745098
kernel k-groups,510,0.794117647059
k-means,530,0.762264150943
gmm,530,0.871698113208
kernel k-groups,530,0.794339622642
k-means,550,0.776363636364
gmm,550,0.892727272727
